职位,薪资,公司,所在地,要求
初中级Java,14-20K,博彦科技,上海·浦东新区·世博,1-3年大专
JAVA开发,14-22K,法本,上海·浦东新区·陆家嘴,3-5年大专
Java,13-25K,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
Java,20-30K·13薪,极兔速递,上海·青浦区·虹桥枢纽周边区,3-5年大专
Java开发,12-17K,法本,上海·长宁区·新华路,1-3年大专
Java,15-25K,博彦科技,上海·浦东新区·金桥,3-5年大专
Java,15-26K,法本,上海·普陀区·长征,3-5年大专
java开发,15-25K,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
java工程师,12-24K,法本,上海·黄浦区·外滩,3-5年大专
Java,15-20K,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
JAVA,14-24K,法本,上海·徐汇区·徐家汇,1-3年大专
Java工程师,15-30K,法本,上海·黄浦区·城隍庙,3-5年大专
Java开发工程师,15-25K,博彦科技,上海·浦东新区·陆家嘴,5-10年大专
Java,15-30K,法本,上海·浦东新区·陆家嘴,3-5年大专
java,11-22K,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
Java,15-22K,法本,上海·浦东新区·陆家嘴,3-5年大专
Java,15-20K,博彦科技,上海·浦东新区·陆家嘴,1-3年大专
Java开发,13-17K,法本,上海·虹口区·北外滩,3-5年大专
Java,13-25K,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
Java开发,11-20K,法本,上海·长宁区·新华路,3-5年大专
Java,15-25K,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
JAVA,14-24K,法本,上海·浦东新区·唐镇,5-10年大专
Java开发,14-19K,博彦科技,上海·黄浦区·新天地,5-10年大专
java,11-22K·13薪,博彦科技,上海·徐汇区·龙华,3-5年大专
Java,13-24K·13薪,法本,上海·杨浦区·东外滩,3-5年大专
Java,16-24K·13薪,博彦科技,上海·徐汇区·龙华,3-5年大专
高级Java开发工程师,16-25K,法本,上海·浦东新区·陆家嘴,5-10年学历不限
Java（初中高级不限，学历不限）,11-22K,法本,上海·黄浦区·南浦大桥,经验不限学历不限
